,id_x,object_id_x,degree_type,subject,institution,graduated_at,object_id_numeric,id_y,funding_round_id,object_id_y,funded_at,funding_round_type,funding_round_code,raised_amount_usd,pre_money_valuation_usd,post_money_valuation_usd,participants,is_first_round,is_last_round
2852,12500,p:79973,PhD,Computer Science,"University of California, Los Angeles (UCLA)",2007-01-01,79973,25747,25747,c:79973,2011-10-04,venture,unattributed,10000000.0,0.0,0.0,1,1,0
2853,12501,p:85731,BMus,Music,Surrey University Roehampton,2002-01-01,85731,26563,26563,c:85731,2011-11-15,venture,unattributed,1750000.0,0.0,0.0,4,1,1
2854,12589,p:85350,Commerce,"Economics, Banking, Commerce and Accounting",Bangalore University,1999-01-01,85350,24839,24839,c:85350,2011-10-28,angel,seed,15500.0,0.0,0.0,0,1,1
2855,12590,p:56361,,Computer Engineering,University of Illinois,1989-01-01,56361,18217,18217,c:56361,2005-01-20,venture,unattributed,5000000.0,0.0,0.0,3,1,1
2856,12591,p:56361,,,Harvard University,1994-01-01,56361,18217,18217,c:56361,2005-01-20,venture,unattributed,5000000.0,0.0,0.0,3,1,1
2857,12610,p:65883,BA,Communications,"University of California, San Diego (UCSD)",1995-01-01,65883,22076,22076,c:65883,2011-03-23,angel,seed,500000.0,0.0,0.0,2,1,1
2858,12701,p:44085,PhD,Mechanical Engineering,Stanford University,1992-01-01,44085,13162,13162,c:44085,2007-03-05,venture,unattributed,1917766.0,0.0,0.0,1,1,1
2859,12702,p:44085,MS,Mechanical Engineering,Stanford University,1987-01-01,44085,13162,13162,c:44085,2007-03-05,venture,unattributed,1917766.0,0.0,0.0,1,1,1
2860,12703,p:44085,BS,Mechanical Engineering,Texas A&M University,1985-01-01,44085,13162,13162,c:44085,2007-03-05,venture,unattributed,1917766.0,0.0,0.0,1,1,1
2861,12729,p:365,MBA,Business,Columbia University,1994-01-01,365,5567,5567,c:365,2009-04-09,series-b,b,5000000.0,0.0,0.0,4,0,0
2862,12729,p:365,MBA,Business,Columbia University,1994-01-01,365,12135,12135,c:365,2007-09-18,venture,unattributed,12000000.0,0.0,0.0,3,0,1
2863,12729,p:365,MBA,Business,Columbia University,1994-01-01,365,19982,19982,c:365,2010-11-10,series-b,b,10000000.0,0.0,0.0,4,0,0
2864,12730,p:365,BA,English & Theater,Princeton University,1989-01-01,365,5567,5567,c:365,2009-04-09,series-b,b,5000000.0,0.0,0.0,4,0,0
2865,12730,p:365,BA,English & Theater,Princeton University,1989-01-01,365,12135,12135,c:365,2007-09-18,venture,unattributed,12000000.0,0.0,0.0,3,0,1
2866,12730,p:365,BA,English & Theater,Princeton University,1989-01-01,365,19982,19982,c:365,2010-11-10,series-b,b,10000000.0,0.0,0.0,4,0,0
2867,12774,p:44096,B.S. (Engineering),"Computer Science, Cognitive Science",Cornell University,1996-01-01,44096,13174,13174,c:44096,2007-05-08,venture,unattributed,2033700.0,0.0,0.0,1,1,1
2868,12797,p:9412,,BA,SMU,1987-01-01,9412,6055,6055,c:9412,2000-01-01,series-a,a,5023000.0,0.0,0.0,0,0,1
2869,12797,p:9412,,BA,SMU,1987-01-01,9412,6056,6056,c:9412,2001-01-01,series-b,b,6513500.0,0.0,0.0,0,0,0
2870,12942,p:155,BA,Political Science,Stanford University,1990-01-01,155,130,130,c:155,2004-06-01,series-a,a,1000000.0,0.0,0.0,0,0,1
2871,12942,p:155,BA,Political Science,Stanford University,1990-01-01,155,131,131,c:155,2005-04-01,series-b,b,7000000.0,0.0,0.0,4,1,0
2872,12943,p:155,MS,Computer Science,University of San Francisco (USF),2004-01-01,155,130,130,c:155,2004-06-01,series-a,a,1000000.0,0.0,0.0,0,0,1
2873,12943,p:155,MS,Computer Science,University of San Francisco (USF),2004-01-01,155,131,131,c:155,2005-04-01,series-b,b,7000000.0,0.0,0.0,4,1,0
2874,12947,p:66211,BE,Computer Science Engineering,University of Pennsylvania,2001-01-01,66211,28577,28577,c:66211,2012-03-08,series-a,a,3200000.0,0.0,0.0,2,0,1
2875,12947,p:66211,BE,Computer Science Engineering,University of Pennsylvania,2001-01-01,66211,48275,48275,c:66211,2013-09-10,series-b,b,5000000.0,0.0,0.0,2,1,0
