,id,name,normalized_name,category_code,status,founded_at,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
179533,c:68210,SironRX Therapeutics,sironrx therapeutics,biotech,operating,,USA,CLEVELAND,Cleveland,,,0,0,2011-02-07,2011-08-16,2,3900000.0,,,0,1
179557,c:68235,Datadog,datadog,software,operating,2010-01-01,USA,New York,New York,,,0,0,2011-04-29,2012-11-21,2,7400000.0,,,0,5
179558,c:68236,MBA and Company,mba and company,consulting,operating,2009-07-01,GBR,London,London,,,0,0,2010-10-01,2013-04-04,2,1611780.0,2013-01-07,2013-01-07,1,7
179569,c:68246,saperatec,saperatec,cleantech,operating,2010-12-01,DEU,Bielefeld,Bielefeld,,,0,0,2011-02-08,2013-03-13,2,5647230.0,,,0,0
179573,c:68254,LocoX.com,locox,,operating,,USA,Manitowoc,Manitowoc,,,0,0,2010-01-05,2010-01-05,1,749596.0,,,0,1
179578,c:68260,Rockbot (formerly Roqbot),rockbot formerly roqbot,mobile,operating,2010-01-01,USA,Oakland,SF Bay,,,0,0,2011-05-01,2012-06-12,2,1200000.0,2010-05-01,2012-06-12,2,5
179591,c:68274,Chirply,chirply,social,operating,2010-01-01,USA,San Francisco,SF Bay,,,0,0,2011-04-07,2011-04-07,1,1100000.0,2010-06-01,2011-04-07,2,2
179604,c:68288,Bubbli,bubbli,,operating,,,,unknown,,,0,0,2011-02-09,2011-02-09,1,2000000.0,2011-02-08,2011-02-08,2,2
179616,c:683,mTraks,mtraks,web,closed,,USA,San Diego,San Diego,,,0,0,2007-05-01,2007-05-01,1,550000.0,,,0,1
179618,c:68300,Selectica,selectica,software,ipo,1996-01-01,USA,San Mateo,SF Bay,,,0,0,2013-06-05,2013-06-05,1,9410322.0,2008-01-01,2012-02-29,2,13
179622,c:68305,Blue Marble Energy,blue marble energy,biotech,operating,2005-01-01,USA,Seattle,Seattle,,,0,0,2011-02-08,2011-02-08,1,1300000.0,,,0,1
179639,c:68322,InSite Vision,insite vision,biotech,operating,,USA,Alameda,SF Bay,,,0,0,2011-07-22,2011-07-22,1,22187064.0,2011-01-01,2011-02-07,2,3
179642,c:68326,Zerply,zerply,web,operating,2010-04-30,USA,Mountain View,SF Bay,,,0,0,2010-07-01,2012-05-01,2,700000.0,2011-02-01,2013-04-09,2,4
179645,c:68329,GoodyTag,goodytag,advertising,operating,2010-01-01,ISR,Tel-Aviv,Tel Aviv,,,0,0,2009-01-01,2010-06-01,3,550000.0,2010-07-01,2010-07-01,1,2
179649,c:68332,Altacor,altacor,biotech,operating,,GBR,Cambridge,London,,,0,0,2011-02-09,2011-02-09,1,3050506.0,,,0,1
179653,c:68336,Coalfire,coalfire,security,operating,2001-01-01,USA,Louisville,Denver,,,0,0,2011-02-09,2013-02-05,3,9350003.0,2011-01-01,2012-05-10,2,16
179664,c:68347,dotCloud,dotcloud,software,operating,2008-01-01,USA,San Francisco,SF Bay,,,0,0,2010-08-01,2011-03-30,3,13679150.0,2011-03-01,2013-10-16,3,12
179667,c:68350,Precog,precog,analytics,acquired,2010-10-25,USA,Boulder,Denver,,,0,0,2011-08-01,2012-05-24,3,2768000.0,2012-02-28,2012-07-01,2,5
179693,c:6838,Channel Intelligence,channel intelligence,web,acquired,1999-01-01,USA,Celebration,Orlando,,,0,0,2011-06-14,2011-06-14,1,3008970.0,2008-07-17,2013-11-29,4,5
179707,c:68394,Yatown,yatown,social,closed,2010-01-01,USA,,California - Other,,,0,0,2010-08-01,2011-05-13,2,330000.0,2011-01-01,2011-01-01,1,4
179709,c:68396,Hanzo Archives,hanzo archives,web,operating,2005-01-01,USA,San Francisco,SF Bay,,,0,0,2013-05-28,2013-05-28,1,299222.0,,,0,0
179712,c:684,GeoIQ,geoiq,analytics,acquired,2005-07-07,USA,Arlington,Washington DC,,,0,0,2005-07-01,2010-08-26,3,11500000.0,2009-02-17,2010-08-24,3,8
179728,c:68415,VC VISION,vc vision,consulting,closed,2009-10-24,USA,New york city,New York,,,0,0,2011-02-09,2011-02-09,1,3500000.0,,,0,0
179729,c:68416,uKnow Corporation,uknow,advertising,operating,2008-01-01,USA,GUILFORD,Guilford,,,0,0,2011-02-10,2012-05-10,2,815830.0,2010-11-01,2011-02-10,2,7
179730,c:68417,ConnectFu,connectfu,web,operating,2010-10-01,USA,RANCHO PALOS VERDES,Los Angeles,,,0,0,2011-03-28,2011-03-28,1,100000.0,,,0,1
179748,c:68436,eDiets.com,ediets,,operating,,USA,Pompano Beach,Fort Lauderdale,,,0,0,2011-02-14,2011-12-12,2,2072375.0,2002-01-01,2002-01-01,1,4
179749,c:68437,Re Pet,re pet,cleantech,operating,,,,unknown,,,0,0,2011-02-10,2011-02-10,1,1925548.0,,,0,0
179750,c:68438,MCI Group Holding,mci group holding,messaging,operating,,CHE,Geneva,Geneva,,,0,0,2011-02-10,2011-02-10,1,10883200.0,,,0,0
179752,c:6844,OPENLANE,openlane,web,acquired,,USA,Redwood City,SF Bay,,,0,0,2008-12-31,2008-12-31,1,10000000.0,2011-01-01,2011-01-01,1,5
179761,c:68449,Wings Intellect,wings intellect,games_video,operating,2011-11-01,IND,Mumbai,Mumbai,,,0,0,2011-11-01,2011-11-01,1,500000.0,,,0,0
179762,c:6845,Panda Security,panda security,security,operating,1990-01-01,ESP,Bilbao,Bilbao,,,0,0,2007-07-24,2007-07-24,1,13820000.0,2009-12-01,2013-11-14,2,3
179774,c:68462,Enverv,enverv,semiconductor,operating,,USA,SAN JOSE,SF Bay,,,0,0,2011-12-19,2011-12-19,1,12000000.0,2012-01-01,2012-01-01,1,11
179776,c:68464,airpim,airpim,software,operating,2009-10-20,ITA,Rovereto (TN),Rovereto,,,0,0,2010-10-20,2010-10-20,1,659784.0,2011-02-20,2012-10-22,2,6
179782,c:68470,BlockBeacon,blockbeacon,web,acquired,2012-01-01,USA,Santa Monica,Los Angeles,,,0,0,2012-06-21,2012-06-21,1,500000.0,2012-01-01,2012-12-01,2,12
179786,c:68474,MediaRoost,mediaroost,enterprise,operating,2011-01-01,USA,Metuchen,Metuchen,,,0,0,2011-05-12,2011-05-12,1,500000.0,,,0,2
179804,c:68493,Promimic,promimic,biotech,operating,,SWE,GÃ¶teborg,GÃÂ¶teborg,,,0,0,2011-02-10,2011-02-10,1,1541809.0,,,0,0
179807,c:68497,ADENTS HTI,adents hti,software,operating,,FRA,Palaiseau,Paris,,,0,0,2011-02-10,2011-02-10,1,1360400.0,,,0,0
179808,c:68498,Vision 360 Degres (V3D),vision 360 degres v3d,software,operating,,FRA,Lyon,Lyon,,,0,0,2011-02-10,2012-12-04,3,5590800.0,,,0,2
179812,c:68501,Thirsty,thirsty,advertising,operating,2012-04-12,USA,Palo Alto,SF Bay,,,0,0,2013-06-26,2013-06-26,1,189500.0,2011-09-12,2011-09-12,1,2
179817,c:68506,Mooter Media,mooter media,advertising,operating,,,,unknown,,,0,0,2011-10-11,2011-10-11,1,15000000.0,2010-02-15,2010-02-15,1,7
179818,c:68507,Knowledge Nation Inc.,knowledge nation,education,operating,,USA,San Francisco,SF Bay,,,0,0,2011-04-02,2011-04-02,1,4150000.0,2011-03-01,2011-04-01,2,3
179827,c:68516,"Corent Technology, Inc.",corent technology,software,operating,2000-01-01,USA,Aliso Viejo,Los Angeles,,,0,0,2012-09-27,2012-09-27,1,3035000.0,2011-01-01,2011-01-01,1,9
179835,c:68527,Siine,siine,mobile,operating,2007-01-01,GBR,London,London,,,0,0,2008-01-01,2011-02-11,2,879532.0,2011-10-10,2011-10-10,1,0
179846,c:6854,Loud3r,loud3r,web,closed,2007-09-01,USA,Pasadena,Los Angeles,,,0,0,2009-06-05,2009-12-28,2,3529175.0,2008-07-17,2010-09-10,3,12
179847,c:68540,Zipzoom,zipzoom,ecommerce,operating,2007-01-01,CAN,Ontario,Ontario,,,0,0,2011-02-11,2011-02-11,1,2200000.0,2011-02-11,2011-02-11,1,0
179854,c:68549,Academy of Inovation,academy of inovation,social,operating,2011-02-11,,,unknown,,,0,0,2011-02-11,2011-02-11,1,50000.0,,,0,0
179855,c:6855,Razz,razz,software,operating,2002-01-01,USA,San Francisco,SF Bay,,,0,0,2005-01-26,2006-02-28,2,10000000.0,,,0,3
179858,c:68552,AHS PharmStat,ahs pharmstat,other,operating,,USA,Edmond,Edmond,,,0,0,2010-05-06,2010-05-06,1,900000.0,,,0,2
179862,c:68559,GoTunes,gotunes,music,closed,2010-11-01,,,unknown,,,0,0,2010-12-01,2010-12-01,1,50000.0,,,0,0
179878,c:68574,UTILICASE,utilicase,cleantech,closed,1994-01-01,CAN,"MontrÃ©al, QuÃ©bec",Montreal,,,0,0,2011-02-11,2011-02-11,1,5000000.0,,,0,0
179894,c:6859,Vigster,vigster,games_video,operating,,GBR,London,London,,,0,0,,,1,82772.0,,,0,0
179903,c:6860,Xcerion,xcerion,enterprise,operating,2001-11-11,SWE,Linkoping,Linkoping,,,0,0,2006-11-30,2011-03-28,2,15340000.0,2011-01-01,2013-12-03,6,4
179907,c:68603,Materna Medical,materna medical,medical,operating,2007-06-01,USA,San Francisco,SF Bay,,,0,0,2010-12-01,2010-12-01,1,1000000.0,,,0,0
179919,c:68615,Hazelcast,hazelcast,software,operating,2008-12-20,USA,Palo Alto,SF Bay,,,0,0,2013-09-19,2013-09-19,1,2500000.0,,,0,2
179923,c:68619,Framehawk,framehawk,software,operating,2008-08-01,USA,San Francisco,SF Bay,,,0,0,2011-12-06,2012-01-13,2,16500000.0,,,0,4
179929,c:68625,Wifinity Technology,wifinity technology,cleantech,operating,2010-04-01,IND,Bangalore,Bangalore,,,0,0,2011-01-01,2013-06-24,2,100000.0,2010-04-01,2010-04-01,1,1
179947,c:68645,Arated.com,arated,mobile,operating,2008-03-01,GBR,,United Kingdom - Other,,,0,0,2011-02-14,2011-02-14,1,4000.0,2008-03-12,2008-03-12,1,2
179948,c:68646,Gen9,gen9,biotech,operating,2009-01-01,USA,Cambridge,Boston,,,0,0,2011-02-11,2013-04-24,4,24595000.0,2011-04-28,2011-11-01,2,7
